Rank,Title,Year, cost ,million
,,,,
1,Pirates of the Caribbean: On Stranger Tides,2011, ? 456.00 ,? 378.00
2,Avengers: Age of Ultron,2015, ? 417.00 ,? 365.00
3,Pirates of the Caribbean: At World's End,2007, ? 392.00 ,? 300.00
4,Avengers: Endgame,2019, ? 377.00 ,? 356.00
5,Avengers: Infinity War,2018, ? 351.00 ,? 325.00
6,Avatar: The Way of Water,2022, ? 350.00 ,? 350.00
7,Titanic,1997, ? 338.00 ,? 200.00
8,Spider-Man 3,2007, ? 337.00 ,? 255.00
9,Justice League,2017, ? 332.00 ,? 300.00
10,Tangled,2010, ? 323.00 ,? 260.00
11,Harry Potter and the Half-Blood Prince,2009, ? 316.00 ,? 250.00
12,John Carter,2012, ? 311.00 ,? 236.00
13,Waterworld,1995, ? 306.00 ,? 172.00
14,Pirates of the Caribbean: Dead Man's Chest,2006, ? 302.00 ,? 225.00
15,Avatar,2009, ? 299.00 ,? 237.00
16,Batman v Superman: Dawn of Justice,2016, ? 297.00 ,? 263.00
16,Solo: A Star Wars Story,2018, ? 297.00 ,? 275.00
18,Star Wars: The Force Awakens,2015, ? 296.00 ,? 259.00
19,Star Wars: The Rise of Skywalker,2019, ? 291.00 ,? 275.00
20,Star Wars: The Last Jedi,2017, ? 290.00 ,? 262.00
21,King Kong,2005, ? 287.00 ,? 207.00
21,Spider-Man 2,2004, ? 287.00 ,? 200.00
23,Furious 7,2015, ? 286.00 ,? 250.00
24,The Chronicles of Narnia: Prince Caspian,2008, ? 283.00 ,? 225.00
25,X-Men: The Last Stand,2006, ? 282.00 ,? 210.00
25,Beauty and the Beast,2017, ? 282.00 ,? 255.00
27,Spectre,2015, ? 280.00 ,? 245.00
28,Wild Wild West,1999, ? 277.00 ,? 170.00
29,The Fate of the Furious,2017, ? 276.00 ,? 250.00
29,The Lion King,2019, ? 276.00 ,? 260.00
31,Cleopatra,1963, ? 275.00 ,? 31.10
32,Superman Returns,2006, ? 274.00 ,? 204.00
33,The Dark Knight Rises,2012, ? 271.00 ,? 230.00
34,The Lone Ranger,2013, ? 262.00 ,? 225.00
34,Man of Steel,2013, ? 262.00 ,? 225.00
36,The Avengers,2012, ? 260.00 ,? 220.00
,Captain America: Civil War,2016, ? 260.00 ,? 230.00
38,Maleficent,2014, ? 259.00 ,? 226.00
39,Pirates of the Caribbean: Dead Men Tell No Tales,2017, ? 254.00 ,? 230.00
39,Men in Black 3,2012, ? 254.00 ,? 215.00
41,Transformers: Revenge of the Fallen,2009, ? 253.00 ,? 200.00
41,2012,2009, ? 253.00 ,? 200.00
41,Terminator Salvation,2009, ? 253.00 ,? 200.00
44,The Hobbit: The Desolation of Smaug,2013, ? 252.00 ,? 217.00
44,Quantum of Solace,2008, ? 252.00 ,? 200.00
46,Troy,2004, ? 251.00 ,? 175.00
47,Oz the Great and Powerful,2013, ? 250.00 ,? 215.00
47,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005, ? 250.00 ,? 180.00
47,No Time to Die,2021, ? 250.00 ,? 250.00
47,Thor: Love and Thunder,2022, ? 250.00 ,? 250.00
47,Black Panther: Wakanda Forever,2022, ? 250.00 ,? 250.00
52,Toy Story 3,2010, ? 249.00 ,? 200.00
53,Rogue One: A Star Wars Story,2016, ? 248.00 ,? 217.00
54,Battleship,2012, ? 247.00 ,? 209.00
55,Terminator 3: Rise of the Machines,2003, ? 246.00 ,? 167.00
56,Green Lantern,2011, ? 241.00 ,? 200.00
,Cars 2,2011, ? 241.00 ,? 200.00
58,Transformers: Age of Extinction,2014, ? 240.00 ,? 210.00
58,Transformers: The Last Knight,2017, ? 240.00 ,? 217.00
60,Dawn of the Planet of the Apes,2014, ? 239.00 ,? 209.00
60,The Hobbit: The Battle of the Five Armies,2014, ? 239.00 ,? 209.00
62,The Amazing Spider-Man,2012, ? 236.00 ,? 200.00
62,The Hobbit: An Unexpected Journey,2012, ? 236.00 ,? 200.00
64,The Golden Compass,2007, ? 235.00 ,? 180.00
,Transformers: Dark of the Moon,2011, ? 235.00 ,? 195.00
,X-Men: Days of Future Past,2014, ? 235.00 ,? 205.00
67,Armageddon,1998, ? 233.00 ,? 140.00
67,Indiana Jones and the Kingdom of the Crystal Skull,2008, ? 233.00 ,? 185.00
67,The Dark Knight,2008, ? 233.00 ,? 185.00
67,Iron Man 3,2013, ? 233.00 ,? 200.00
67,Monsters University,2013, ? 233.00 ,? 200.00
n/a,Van Helsing,2004, ? 230.00 ,? 200.00
n/a,The Polar Express,2004, ? 230.00 ,? 160.00
n/a,The Amazing Spider-Man 2,2014, ? 229.00 ,? 200.00
n/a,Exodus: Gods and Kings,2014, ? 229.00 ,? 200.00
n/a,Evan Almighty,2007, ? 229.00 ,? 175.00
n/a,WALL-E,2008, ? 227.00 ,? 180.00
n/a,Superman,1978, ? 226.00 ,? 55.00
